Time (ms),EMG1,EMG2,EMG3,EMG4,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
3225.843,0,336,302,305,960,16444,-1832,-47,48,15
3225.843,0,336,302,305,940,16472,-1892,-59,28,-3
3241.469,0,336,302,305,944,16508,-1852,-86,18,-3
3241.469,0,337,302,305,928,16460,-1832,-60,31,-39
3241.469,0,336,302,306,876,16432,-1860,-83,33,-17
3257.0950000000003,0,336,302,305,892,16392,-1780,-99,29,-23
3257.0950000000003,0,336,302,305,864,16264,-1804,-125,24,-7
3257.0950000000003,0,336,302,305,880,16220,-1816,-89,44,-36
3272.721,0,336,302,305,880,16260,-1832,-90,8,-7
3272.721,0,336,302,305,864,16248,-1796,-77,-7,-2
3272.721,0,336,302,305,952,16256,-1764,-85,17,-11
3288.3469999999998,0,337,302,305,912,16212,-1780,-97,13,-1
3288.3469999999998,0,337,302,305,956,16264,-1820,-68,30,2
3294.851,0,337,302,305,992,16376,-1816,-53,30,12
3294.851,0,336,302,305,1000,16428,-1880,-12,41,10
3310.4779999999996,0,337,302,305,1004,16452,-1860,6,38,11
3310.4779999999996,0,336,302,305,972,16468,-1836,-60,19,-4
3310.4779999999996,0,337,302,305,944,16512,-1828,-65,56,-7
3310.4779999999996,0,336,302,306,1008,16464,-1792,-57,22,-14
3326.105,0,337,302,305,904,16372,-1792,-88,35,-17
3326.105,0,336,302,306,904,16376,-1764,-110,21,-33
3326.105,0,336,302,305,936,16304,-1784,-90,21,-7
3341.7309999999998,0,336,302,305,920,16344,-1804,-83,32,-29
3341.7309999999998,0,336,302,305,968,16276,-1768,-75,27,-22
3341.7309999999998,0,337,302,305,956,16300,-1780,-63,37,-28
3357.3559999999998,0,337,302,306,936,16252,-1768,-51,50,-19
3357.3559999999998,0,337,302,305,992,16332,-1812,-50,30,-29
3357.3559999999998,0,338,302,306,980,16340,-1848,-71,35,-16
3372.983,0,338,302,305,980,16336,-1824,-58,43,-2
3372.983,0,338,302,306,924,16384,-1836,-52,36,-21
3372.983,0,338,302,305,940,16424,-1796,-47,28,-11
3388.6090000000004,0,338,302,305,932,16440,-1800,-60,44,-13
3395.113,0,338,302,305,928,16428,-1840,-82,42,-6
3395.113,0,338,302,306,932,16440,-1808,-66,19,-32
3395.113,0,338,302,305,952,16448,-1828,-53,36,-34
3395.113,0,338,302,305,948,16440,-1848,-82,36,-26
3410.7400000000002,0,338,302,306,892,16396,-1836,-76,30,-29
3410.7400000000002,0,338,302,305,944,16252,-1840,-64,33,-24
3410.7400000000002,0,338,302,305,920,16228,-1808,-112,10,-39
3426.366,0,338,302,306,872,16212,-1824,-107,-22,-14
